Yas,Gelir,Vade,Kriz_Tepkisi,Risk_Profili
56,46000,medium,sell,Defansif
69,78000,long,sell,Dengeli
46,17000,long,hold,Dengeli
32,32000,short,sell,Defansif
60,34000,long,buy,Agresif
25,49000,medium,sell,Defansif
38,62000,medium,hold,Agresif
56,44000,short,hold,Dengeli
75,27000,short,sell,Defansif
36,74000,medium,hold,Agresif
40,44000,medium,sell,Defansif
28,52000,short,hold,Dengeli
28,63000,medium,sell,Dengeli
41,50000,long,buy,Agresif
70,51000,long,buy,Agresif
53,75000,long,sell,Dengeli
57,53000,medium,sell,Defansif
41,71000,medium,hold,Agresif
20,63000,long,sell,Agresif
39,100000,medium,buy,Agresif
70,60000,short,hold,Defansif
19,65000,medium,hold,Agresif
41,77000,medium,buy,Agresif
61,51000,medium,hold,Dengeli
47,34000,medium,buy,Agresif
55,38000,medium,buy,Dengeli
19,38000,short,sell,Dengeli
38,26000,medium,sell,Defansif
50,57000,medium,buy,Agresif
29,34000,medium,buy,Agresif
75,54000,short,sell,Defansif
39,46000,medium,buy,Agresif
61,48000,medium,hold,Defansif
42,63000,medium,sell,Defansif
66,36000,medium,buy,Dengeli
44,65000,medium,sell,Defansif
59,89000,long,buy,Agresif
45,58000,medium,sell,Defansif
33,30000,medium,hold,Dengeli
32,34000,medium,sell,Defansif
64,43000,medium,hold,Defansif
68,35000,medium,hold,Defansif
61,25000,medium,sell,Defansif
72,53000,long,hold,Dengeli
69,44000,medium,hold,Defansif
74,54000,short,sell,Defansif
20,79000,medium,buy,Agresif
54,44000,long,sell,Dengeli
68,20000,short,hold,Defansif
24,40000,long,hold,Agresif
38,69000,medium,hold,Agresif
26,66000,long,sell,Agresif
56,62000,long,hold,Agresif
35,34000,medium,hold,Dengeli
21,68000,short,hold,Agresif
42,74000,short,buy,Agresif
31,32000,short,hold,Dengeli
67,48000,long,sell,Dengeli
75,100000,medium,sell,Defansif
26,31000,medium,sell,Defansif
43,17000,medium,sell,Defansif
70,84000,long,hold,Dengeli
19,78000,short,sell,Dengeli
37,38000,short,sell,Defansif
45,47000,short,sell,Defansif
64,19000,long,sell,Defansif
24,52000,medium,sell,Agresif
61,79000,medium,sell,Defansif
25,36000,short,hold,Dengeli
64,71000,medium,hold,Dengeli
52,61000,short,sell,Defansif
31,64000,long,hold,Agresif
34,37000,long,sell,Dengeli
53,41000,medium,sell,Defansif
67,17000,long,sell,Defansif
57,35000,short,hold,Defansif
21,79000,long,hold,Agresif
19,26000,long,sell,Agresif
23,30000,medium,sell,Defansif
71,66000,long,buy,Dengeli
59,60000,medium,sell,Defansif
21,67000,medium,sell,Dengeli
71,20000,short,buy,Dengeli
46,114000,medium,buy,Agresif
35,19000,long,hold,Dengeli
43,53000,long,hold,Agresif
61,46000,medium,sell,Defansif
51,20000,long,sell,Defansif
27,40000,long,hold,Agresif
53,50000,short,sell,Defansif
31,33000,medium,hold,Dengeli
48,73000,short,buy,Dengeli
65,45000,medium,buy,Agresif
32,17000,long,sell,Dengeli
25,17000,short,hold,Dengeli
31,65000,long,hold,Agresif
40,17000,medium,buy,Dengeli
74,57000,medium,sell,Defansif
57,61000,medium,sell,Defansif
38,25000,medium,sell,Defansif
33,72000,short,sell,Defansif
62,17000,short,sell,Defansif
35,57000,short,hold,Dengeli
64,48000,medium,hold,Defansif
70,47000,short,sell,Defansif
41,20000,long,hold,Dengeli
43,26000,medium,sell,Defansif
42,90000,medium,buy,Agresif
62,80000,medium,buy,Agresif
58,68000,medium,buy,Agresif
46,73000,long,buy,Agresif
32,71000,short,sell,Defansif
62,41000,medium,sell,Defansif
18,51000,long,hold,Agresif
42,17000,short,buy,Defansif
24,47000,short,sell,Defansif
26,79000,medium,sell,Agresif
41,33000,short,buy,Agresif
18,75000,medium,sell,Dengeli
61,52000,short,hold,Defansif
25,17000,long,hold,Agresif
41,22000,long,sell,Dengeli
28,72000,medium,sell,Agresif
68,63000,medium,hold,Dengeli
34,52000,long,hold,Agresif
25,43000,short,buy,Agresif
52,55000,long,sell,Defansif
52,72000,long,sell,Defansif
50,86000,long,hold,Agresif
22,88000,medium,hold,Agresif
59,59000,short,sell,Defansif
56,45000,medium,hold,Dengeli
75,53000,long,sell,Defansif
58,63000,short,sell,Defansif
45,62000,long,sell,Defansif
24,82000,short,hold,Dengeli
26,102000,short,hold,Agresif
25,44000,short,hold,Dengeli
29,103000,short,hold,Agresif
51,79000,medium,buy,Agresif
50,47000,short,sell,Defansif
65,87000,long,sell,Dengeli
72,92000,medium,sell,Defansif
40,38000,short,sell,Defansif
41,93000,medium,hold,Agresif
54,76000,long,hold,Agresif
52,109000,long,hold,Agresif
61,39000,short,sell,Defansif
57,41000,long,sell,Defansif
39,17000,long,hold,Agresif
44,64000,short,sell,Defansif
52,59000,short,hold,Dengeli
18,35000,medium,buy,Agresif
52,47000,short,hold,Defansif
54,17000,long,hold,Dengeli
64,79000,medium,hold,Dengeli
31,37000,long,sell,Defansif
20,127000,medium,hold,Agresif
18,45000,short,sell,Defansif
22,31000,short,sell,Defansif
43,39000,medium,hold,Agresif
72,17000,long,buy,Agresif
31,62000,long,sell,Dengeli
56,39000,medium,hold,Dengeli
44,78000,short,buy,Agresif
26,43000,short,buy,Agresif
32,84000,medium,hold,Agresif
32,68000,short,sell,Defansif
43,50000,medium,buy,Agresif
59,89000,medium,sell,Defansif
30,73000,long,hold,Agresif
68,123000,medium,sell,Defansif
49,39000,short,hold,Defansif
56,51000,medium,sell,Defansif
66,89000,medium,hold,Dengeli
69,17000,medium,sell,Defansif
49,82000,long,sell,Dengeli
21,60000,long,hold,Agresif
47,27000,short,buy,Dengeli
54,17000,short,buy,Dengeli
40,33000,medium,sell,Dengeli
56,17000,long,hold,Dengeli
62,37000,short,hold,Defansif
32,65000,medium,sell,Dengeli
60,38000,medium,sell,Defansif
46,84000,short,hold,Agresif
53,91000,medium,buy,Agresif
30,81000,long,hold,Agresif
49,55000,short,hold,Defansif
24,17000,medium,hold,Dengeli
68,32000,medium,sell,Defansif
39,46000,long,hold,Agresif
45,27000,long,hold,Dengeli
19,46000,medium,sell,Dengeli
59,90000,long,buy,Agresif
62,17000,medium,sell,Defansif
74,95000,medium,buy,Agresif
70,72000,medium,hold,Dengeli
23,56000,short,sell,Defansif
45,32000,medium,hold,Agresif
45,28000,medium,hold,Dengeli
61,17000,short,sell,Defansif
61,92000,long,hold,Agresif
37,88000,short,hold,Agresif
47,17000,short,hold,Dengeli
28,36000,medium,sell,Defansif
75,60000,long,hold,Dengeli
72,42000,short,sell,Defansif
45,17000,medium,hold,Defansif
42,33000,long,sell,Defansif
56,98000,medium,buy,Agresif
50,35000,medium,hold,Dengeli
18,45000,long,hold,Agresif
74,21000,short,hold,Defansif
44,64000,medium,sell,Dengeli
74,52000,medium,sell,Defansif
69,31000,medium,buy,Dengeli
30,17000,medium,buy,Agresif
58,85000,short,sell,Defansif
20,17000,medium,hold,Dengeli
56,62000,short,hold,Defansif
23,17000,long,hold,Agresif
25,67000,medium,sell,Dengeli
44,74000,medium,sell,Dengeli
26,77000,long,sell,Agresif
54,45000,medium,buy,Agresif
50,89000,short,hold,Dengeli
68,107000,long,hold,Agresif
59,41000,short,buy,Dengeli
61,38000,short,hold,Defansif
41,53000,long,buy,Agresif
32,38000,medium,hold,Agresif
71,34000,medium,sell,Defansif
49,36000,short,buy,Agresif
49,92000,medium,hold,Agresif
41,69000,medium,sell,Dengeli
58,37000,long,sell,Defansif
69,17000,short,sell,Defansif
66,17000,long,hold,Defansif
66,62000,medium,buy,Dengeli
75,17000,long,buy,Agresif
69,57000,long,buy,Agresif
29,23000,medium,sell,Defansif
56,52000,medium,hold,Agresif
19,51000,short,sell,Defansif
20,53000,short,buy,Agresif
66,40000,long,hold,Dengeli
54,39000,long,hold,Dengeli
66,31000,medium,hold,Dengeli
73,62000,short,hold,Defansif
34,70000,medium,sell,Dengeli
66,19000,medium,buy,Dengeli
19,48000,medium,buy,Agresif
19,54000,long,sell,Agresif
45,54000,long,hold,Agresif
71,54000,short,buy,Dengeli
40,39000,medium,sell,Defansif
54,56000,medium,hold,Dengeli
49,65000,medium,sell,Dengeli
50,53000,short,hold,Defansif
18,62000,short,sell,Defansif
36,74000,long,hold,Agresif
19,17000,medium,sell,Defansif
70,73000,medium,hold,Defansif
61,58000,long,buy,Agresif
43,22000,long,buy,Agresif
49,70000,short,buy,Agresif
23,40000,medium,hold,Agresif
49,43000,medium,sell,Defansif
